benchmark=kaluza,solver=s3p,TO=20.000000
path,sat,time
benchmark/laut/kaluza/1375/sink.s3,1,0.037936
benchmark/laut/kaluza/1176/sink.s3,0,0.033940
benchmark/laut/kaluza/1064/sink.s3,1,0.036357
benchmark/laut/kaluza/171/sink.s3,1,0.067077
benchmark/laut/kaluza/1763/sink.s3,0,0.033976
benchmark/laut/kaluza/1083/sink.s3,0,0.035649
benchmark/laut/kaluza/1797/sink.s3,0,0.036240
benchmark/laut/kaluza/1078/sink.s3,1,0.042948
benchmark/laut/kaluza/1266/sink.s3,0,0.032500
benchmark/laut/kaluza/1790/sink.s3,1,0.068690
benchmark/laut/kaluza/488/sink.s3,0,0.034109
benchmark/laut/kaluza/363/sink.s3,1,0.067135
benchmark/laut/kaluza/1839/sink.s3,0,0.037042
benchmark/laut/kaluza/1565/sink.s3,0,0.035020
benchmark/laut/kaluza/8/sink.s3,1,0.034556
benchmark/laut/kaluza/1941/sink.s3,0,0.034366
benchmark/laut/kaluza/373/sink.s3,1,0.035858
benchmark/laut/kaluza/1970/sink.s3,0,0.037637
benchmark/laut/kaluza/1208/sink.s3,1,0.037364
benchmark/laut/kaluza/1487/sink.s3,0,0.035515
benchmark/laut/kaluza/94/sink.s3,1,0.035316
benchmark/laut/kaluza/935/sink.s3,0,0.035210
